,date,year,month,week,dengue_search,dengue_fever_search,rashes_search,vomiting_search,eye_pain_search,joint_pain_search,fever_search,wolbachia_search,headache_search,nausea_search,fogging_search
163,2017-20-02,2017,2,7,12,18,30,51,11,12,67,0,25,10,52
164,2017-27-02,2017,2,8,15,14,34,34,7,14,56,0,25,9,0
165,2017-06-03,2017,3,9,13,18,52,49,15,19,67,0,31,12,18
166,2017-13-03,2017,3,10,13,27,63,47,5,14,68,0,22,7,0
167,2017-20-03,2017,3,11,14,10,44,26,18,19,67,0,35,11,0
168,2017-27-03,2017,3,12,12,20,38,42,10,7,66,0,21,9,0
169,2017-03-04,2017,4,13,17,32,47,41,7,15,68,0,34,10,0
170,2017-10-04,2017,4,14,12,11,56,25,16,18,64,0,22,7,0
171,2017-17-04,2017,4,15,9,11,37,22,9,19,65,2,27,11,0
172,2017-24-04,2017,4,16,16,23,57,48,0,8,70,0,27,13,22
173,2017-01-05,2017,4,17,18,25,58,52,15,8,75,0,28,14,0
174,2017-08-05,2017,5,18,12,13,55,38,16,22,72,0,28,12,0
175,2017-15-05,2017,5,19,14,21,35,32,8,29,81,0,28,13,0
176,2017-22-05,2017,5,20,17,16,38,40,11,23,87,2,31,10,0
177,2017-29-05,2017,5,21,20,18,44,38,0,9,86,2,26,10,16
178,2017-05-06,2017,6,22,15,28,45,51,23,17,70,0,25,8,0
179,2017-12-06,2017,6,23,15,17,54,27,0,9,71,0,24,10,0
180,2017-19-06,2017,6,24,11,8,50,35,0,15,67,0,32,11,0
181,2017-26-06,2017,6,25,14,32,50,36,17,19,66,0,25,10,35
182,2017-03-07,2017,7,26,15,23,39,35,22,21,61,0,30,12,0
183,2017-10-07,2017,7,27,16,18,55,34,6,23,76,0,25,16,16
184,2017-17-07,2017,7,28,15,5,51,32,16,16,75,0,26,14,26
185,2017-24-07,2017,7,29,13,14,57,40,6,25,57,0,24,11,0
186,2017-31-07,2017,7,30,12,11,40,53,0,10,52,0,29,14,0
187,2017-07-08,2017,8,31,13,25,43,45,11,26,56,1,29,12,0
188,2017-14-08,2017,8,32,15,16,41,30,9,12,57,0,26,11,0
189,2017-21-08,2017,8,33,19,16,47,43,7,16,60,0,32,11,25
190,2017-28-08,2017,8,34,6,8,64,48,11,19,66,2,28,9,0
191,2017-04-09,2017,9,35,12,17,58,49,14,22,66,0,26,14,0
192,2017-11-09,2017,9,36,13,20,39,46,17,11,66,0,21,13,0
193,2017-18-09,2017,9,37,12,15,77,22,10,28,60,1,26,12,0
194,2017-25-09,2017,9,38,16,31,40,40,19,13,60,2,31,4,0
195,2017-02-10,2017,10,39,15,25,46,35,11,17,63,0,30,10,0
196,2017-09-10,2017,10,40,14,20,42,34,11,12,67,0,29,9,0
197,2017-16-10,2017,10,41,18,39,38,71,0,0,63,2,24,12,0
198,2017-23-10,2017,10,42,12,13,39,52,14,25,54,0,32,12,0
199,2017-30-10,2017,10,43,15,20,63,53,0,18,56,1,27,8,0
200,2017-06-11,2017,11,44,16,32,53,25,10,37,56,0,27,12,0
201,2017-13-11,2017,11,45,14,11,50,43,16,22,71,0,35,12,0
202,2017-20-11,2017,11,46,14,26,58,35,5,20,71,0,30,13,15
203,2017-27-11,2017,11,47,15,20,43,53,19,8,67,1,30,15,0
204,2017-04-12,2017,12,48,18,14,26,47,18,23,62,0,33,10,0
205,2017-11-12,2017,12,49,18,23,58,43,12,13,68,0,27,12,0
206,2017-18-12,2017,12,50,9,21,42,49,14,9,68,0,27,12,31
207,2017-25-12,2017,12,51,11,0,72,55,15,13,66,0,27,10,0
208,2018-01-01,2017,12,52,10,19,41,40,39,23,63,0,31,12,0
209,2018-08-01,2018,1,1,16,28,41,39,10,13,69,4,29,13,0
210,2018-15-01,2018,1,2,12,11,54,44,12,16,79,0,23,12,0
211,2018-22-01,2018,1,3,18,34,55,55,9,24,78,0,27,13,0
212,2018-29-01,2018,1,4,9,9,47,51,16,11,73,0,27,13,0
213,2018-05-02,2018,2,5,10,21,52,45,6,26,72,2,28,13,0
214,2018-12-02,2018,2,6,10,15,47,49,8,0,72,0,29,10,0
215,2018-19-02,2018,2,7,14,10,61,41,0,18,72,0,28,11,0
216,2018-26-02,2018,2,8,10,8,53,59,13,19,68,5,27,12,21
217,2018-05-03,2018,3,9,12,25,30,51,11,19,63,1,31,12,0
218,2018-12-03,2018,3,10,12,20,23,65,15,24,65,0,23,10,0
219,2018-19-03,2018,3,11,10,17,57,25,7,20,66,0,27,7,0
220,2018-26-03,2018,3,12,12,18,47,61,9,19,70,1,26,11,27
221,2018-02-04,2018,4,13,12,33,38,46,0,26,66,1,29,15,23
222,2018-09-04,2018,4,14,9,23,44,47,8,10,58,1,29,11,18
223,2018-16-04,2018,4,15,7,12,39,41,4,20,59,0,27,14,0
224,2018-23-04,2018,4,16,9,0,59,30,12,17,58,0,26,14,0
225,2018-30-04,2018,4,17,21,22,56,62,8,19,59,1,28,11,0
226,2018-07-05,2018,5,18,37,41,49,44,7,22,65,1,32,10,0
227,2018-14-05,2018,5,19,17,19,44,46,0,17,59,0,32,9,0
228,2018-21-05,2018,5,20,20,15,63,43,10,13,66,6,28,9,39
229,2018-28-05,2018,5,21,18,15,29,43,19,32,51,1,26,11,0
230,2018-04-06,2018,6,22,17,16,60,32,4,12,56,0,28,11,0
231,2018-11-06,2018,6,23,21,34,45,56,8,27,60,0,25,12,0
232,2018-18-06,2018,6,24,13,18,60,20,10,24,65,0,27,6,0
233,2018-25-06,2018,6,25,15,12,49,45,10,34,61,0,30,14,14
234,2018-02-07,2018,7,26,13,22,48,55,7,15,63,0,30,8,0
235,2018-09-07,2018,7,27,13,11,65,25,11,33,64,0,27,10,16
236,2018-16-07,2018,7,28,13,20,60,46,6,11,63,0,30,11,0
237,2018-23-07,2018,7,29,14,0,41,40,7,5,64,3,31,12,0
238,2018-30-07,2018,7,30,14,15,50,48,0,18,66,0,23,14,0
239,2018-06-08,2018,8,31,14,18,35,30,20,21,62,0,27,12,36
240,2018-13-08,2018,8,32,11,18,56,42,8,29,63,0,27,9,0
241,2018-20-08,2018,8,33,12,0,36,45,11,21,55,3,25,14,0
242,2018-27-08,2018,8,34,12,26,34,31,7,12,48,0,23,8,0
243,2018-03-09,2018,9,35,10,19,52,33,13,21,52,1,30,7,0
244,2018-10-09,2018,9,36,11,17,48,39,11,15,51,1,29,11,0
245,2018-17-09,2018,9,37,14,0,43,37,9,21,54,0,31,11,0
246,2018-24-09,2018,9,38,13,14,54,48,21,10,55,0,25,9,0
247,2018-01-10,2018,9,39,10,17,27,35,9,13,48,0,30,11,0
248,2018-08-10,2018,10,40,10,10,38,43,5,19,62,0,29,12,0
249,2018-15-10,2018,10,41,11,18,55,65,0,31,50,0,30,12,0
250,2018-22-10,2018,10,42,10,32,45,32,18,22,61,2,28,7,0
251,2018-29-10,2018,10,43,13,15,39,55,16,30,55,0,27,8,0
252,2018-05-11,2018,11,44,14,10,44,42,0,20,65,0,25,11,0
253,2018-12-11,2018,11,45,13,13,64,42,9,37,71,0,27,8,0
254,2018-19-11,2018,11,46,14,9,46,48,17,27,69,1,26,13,42
255,2018-26-11,2018,11,47,20,33,31,49,12,14,66,1,30,13,30
256,2018-03-12,2018,12,48,22,25,45,58,15,10,68,0,27,9,0
257,2018-10-12,2018,12,49,18,22,49,59,0,17,61,0,23,13,0
258,2018-17-12,2018,12,50,19,9,49,69,9,23,75,0,27,15,0
259,2018-24-12,2018,12,51,18,20,40,74,13,20,81,0,23,12,0
260,2018-31-12,2018,12,52,18,25,63,61,7,21,75,3,30,10,29
