,Date,Daily Rainfall Total (mm),Highest 30-min Rainfall (mm),Highest 60-min Rainfall (mm),Highest 120-min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),Year
17,18 Mar,0.8,0.6,0.8,0.8,27.9,33.5,26.1,6.6,27.8,2018
18,19 Mar,0.0,0.0,0.0,0.0,28.7,33.0,26.2,7.2,27.8,2018
19,20 Mar,0.0,0.0,0.0,0.0,28.4,31.6,25.0,8.1,33.3,2018
20,21 Mar,2.6,2.4,2.6,2.6,28.6,33.0,23.0,6.9,37.0,2018
21,22 Mar,5.0,5.0,5.0,5.0,28.6,31.8,26.0,10.2,27.8,2018
22,23 Mar,0.4,0.4,0.4,0.4,28.6,32.3,26.7,7.0,33.3,2018
23,24 Mar,23.2,22.6,23.2,23.2,28.3,34.2,24.4,7.3,25.9,2018
24,25 Mar,22.4,20.2,20.6,22.4,28.7,33.6,24.4,7.5,33.3,2018
25,26 Mar,0.2,0.2,0.2,0.2,28.3,33.9,25.4,6.6,24.1,2018
26,27 Mar,0.2,0.2,0.2,0.2,28.4,33.2,25.2,7.4,27.8,2018
27,28 Mar,36.2,23.0,24.4,28.6,27.7,33.4,24.1,6.3,37.0,2018
28,29 Mar,1.2,1.2,1.2,1.2,28.2,33.0,24.0,7.9,31.5,2018
29,30 Mar,0.0,0.0,0.0,0.0,29.1,33.7,26.2,7.3,25.9,2018
30,31 Mar,0.8,0.8,0.8,0.8,28.2,32.8,24.8,5.8,48.2,2018
0,1 Feb,0.0,0.0,0.0,0.0,28.2,32.6,25.6,12.9,33.3,2018
1,2 Feb,0.0,0.0,0.0,0.0,28.4,33.2,25.2,9.3,29.6,2018
2,3 Feb,0.2,0.2,0.2,0.2,28.7,33.6,25.7,12.7,35.2,2018
3,4 Feb,0.0,0.0,0.2,0.2,28.7,33.3,26.5,14.5,38.9,2018
4,5 Feb,0.8,0.4,0.4,0.4,27.9,32.7,25.7,12.8,46.3,2018
5,6 Feb,20.6,3.4,6.0,8.4,26.2,29.0,24.2,6.5,27.8,2018
6,7 Feb,0.8,0.6,0.6,0.8,26.5,30.1,24.8,7.6,31.5,2018
7,8 Feb,1.6,0.6,0.8,1.0,26.7,30.8,24.3,7.6,25.9,2018
8,9 Feb,29.6,9.0,14.4,16.6,26.3,31.5,24.6,6.3,27.8,2018
9,10 Feb,19.6,2.8,5.0,7.4,24.6,25.5,23.7,5.3,20.4,2018
10,11 Feb,3.8,1.2,2.0,2.4,25.5,29.1,23.3,5.9,27.8,2018
11,12 Feb,0.0,0.0,0.0,0.0,27.4,31.6,24.1,9.8,31.5,2018
12,13 Feb,20.6,12.4,18.4,20.6,27.4,32.2,23.7,7.9,29.6,2018
13,14 Feb,1.2,1.2,1.2,1.2,27.6,31.0,25.4,9.0,29.6,2018
14,15 Feb,0.0,0.0,0.0,0.0,28.1,31.9,26.4,12.0,35.2,2018
15,16 Feb,16.4,12.6,15.2,15.2,26.1,28.0,22.6,5.7,33.3,2018
16,17 Feb,0.0,0.0,0.0,0.0,27.8,31.5,24.5,9.3,29.6,2018
17,18 Feb,0.0,0.0,0.0,0.0,28.6,32.3,26.4,11.8,29.6,2018
18,19 Feb,5.0,4.2,4.8,4.8,27.9,31.5,26.2,8.2,29.6,2018
19,20 Feb,12.2,10.6,12.0,12.2,27.3,32.9,23.5,6.9,25.9,2018
20,21 Feb,0.0,0.0,0.0,0.0,28.2,32.3,25.7,11.0,35.2,2018
21,22 Feb,0.0,0.0,0.0,0.0,28.1,32.2,25.3,9.3,29.6,2018
22,23 Feb,0.0,0.0,0.0,0.0,27.5,31.8,25.1,9.1,31.5,2018
23,24 Feb,17.0,4.6,7.0,9.2,25.6,28.4,23.5,8.6,29.6,2018
24,25 Feb,25.0,22.0,25.0,25.0,27.0,32.6,23.2,8.3,35.2,2018
25,26 Feb,0.0,0.0,0.0,0.0,26.6,29.8,24.5,7.3,24.1,2018
26,27 Feb,0.6,0.6,0.6,0.6,27.2,31.0,24.9,10.9,31.5,2018
27,28 Feb,0.0,0.0,0.0,0.0,28.0,32.4,25.2,12.5,37.0,2018
0,1 Jan,25.2,8.8,11.8,11.8,25.7,30.1,23.2,6.9,31.5,2018
1,2 Jan,50.0,8.2,14.6,20.4,24.3,24.9,23.7,4.2,22.2,2018
2,3 Jan,6.0,5.2,5.2,5.4,25.9,30.5,23.5,5.2,22.2,2018
3,4 Jan,4.8,3.4,3.4,3.4,26.4,30.5,24.4,7.3,25.9,2018
4,5 Jan,1.0,0.6,1.0,1.0,27.7,32.3,25.0,6.7,22.2,2018
5,6 Jan,0.0,0.0,0.0,0.0,28.1,32.2,25.4,9.4,33.3,2018
6,7 Jan,0.0,0.0,0.0,0.0,28.0,31.7,25.3,10.3,31.5,2018
7,8 Jan,0.0,0.0,0.0,0.0,27.8,31.1,25.9,11.0,31.5,2018
8,9 Jan,0.0,0.0,0.0,0.0,28.1,31.7,25.6,11.8,38.9,2018
9,10 Jan,0.0,0.0,0.0,0.0,27.7,31.5,25.4,10.9,35.2,2018
10,11 Jan,0.0,0.0,0.0,0.0,27.4,31.1,24.9,11.3,35.2,2018
11,12 Jan,0.0,0.0,0.0,0.0,27.5,31.4,25.2,12.8,37.0,2018
12,13 Jan,0.0,0.0,0.0,0.0,27.3,31.6,24.2,11.6,35.2,2018
13,14 Jan,0.0,0.0,0.0,0.0,27.3,31.4,24.8,11.3,38.9,2018
14,15 Jan,0.0,0.0,0.0,0.0,27.7,31.9,25.2,12.6,35.2,2018
15,16 Jan,0.0,0.0,0.0,0.0,28.0,31.8,25.7,12.4,37.0,2018
16,17 Jan,2.6,2.6,2.6,2.6,27.7,31.2,26.2,12.9,37.0,2018
17,18 Jan,0.0,0.0,0.0,0.0,27.7,32.4,25.6,12.5,37.0,2018
18,19 Jan,4.4,2.4,2.4,2.4,26.8,30.3,24.1,8.9,42.6,2018
19,20 Jan,2.0,1.0,1.2,2.0,27.2,31.2,25.4,9.0,29.6,2018
20,21 Jan,0.0,0.0,0.0,0.0,27.6,32.1,24.8,13.0,35.2,2018
21,22 Jan,0.0,0.0,0.0,0.0,27.8,32.3,25.2,11.0,31.5,2018
22,23 Jan,0.0,0.0,0.0,0.0,27.8,32.6,24.6,9.3,31.5,2018
23,24 Jan,0.0,0.0,0.0,0.0,27.8,32.7,24.8,7.8,25.9,2018
24,25 Jan,0.0,0.0,0.0,0.0,27.8,32.4,24.9,11.7,35.2,2018
25,26 Jan,0.0,0.0,0.0,0.0,28.0,33.0,25.3,9.6,35.2,2018
26,27 Jan,0.0,0.0,0.0,0.0,27.7,32.4,24.9,9.1,29.6,2018
27,28 Jan,0.0,0.0,0.0,0.0,28.2,33.1,24.7,10.9,33.3,2018
28,29 Jan,0.0,0.0,0.0,0.0,28.0,32.6,24.8,10.0,27.8,2018
29,30 Jan,3.8,3.8,3.8,3.8,27.6,32.8,24.7,10.1,27.8,2018
30,31 Jan,0.0,0.0,0.0,0.0,28.3,32.8,25.2,10.5,33.3,2018
0,1 Dec,0.2,0.2,0.2,0.2,29.6,33.9,26.6,8.3,24.1,2017
1,2 Dec,14.2,5.8,9.6,12.6,26.2,28.6,22.9,6.1,40.7,2017
2,3 Dec,0.2,0.2,0.2,0.2,27.2,32.0,24.8,6.8,27.8,2017
3,4 Dec,0.0,0.0,0.0,0.0,27.5,31.2,25.5,9.0,38.9,2017
4,5 Dec,0.0,0.0,0.0,0.0,27.3,30.7,26.0,8.5,35.2,2017
5,6 Dec,0.0,0.0,0.0,0.0,27.8,31.5,25.9,8.6,31.5,2017
6,7 Dec,0.0,0.0,0.0,0.0,28.1,31.8,25.7,10.9,38.9,2017
7,8 Dec,0.0,0.0,0.0,0.0,28.0,31.2,25.9,11.8,44.4,2017
8,9 Dec,0.0,0.0,0.0,0.0,28.2,32.0,25.6,11.7,37.0,2017
9,10 Dec,6.4,4.0,5.0,6.0,27.4,31.9,25.1,8.9,35.2,2017
10,11 Dec,8.2,4.2,6.4,6.6,27.0,31.2,25.5,7.6,31.5,2017
11,12 Dec,0.0,0.0,0.0,0.0,26.7,29.7,25.8,7.6,25.9,2017
12,13 Dec,0.2,0.2,0.2,0.2,26.9,29.8,25.2,8.1,40.7,2017
13,14 Dec,0.0,0.0,0.0,0.0,28.0,31.7,25.8,8.9,31.5,2017
14,15 Dec,0.6,0.6,0.6,0.6,27.9,31.9,26.0,7.5,35.2,2017
15,16 Dec,0.0,0.0,0.0,0.0,28.9,33.3,26.1,7.4,29.6,2017
16,17 Dec,9.4,3.2,5.2,6.2,27.5,31.7,25.5,8.5,44.4,2017
17,18 Dec,46.8,39.8,41.4,41.8,27.6,31.6,24.3,5.7,24.1,2017
18,19 Dec,15.2,7.6,11.0,13.6,27.3,31.4,23.9,6.5,35.2,2017
19,20 Dec,0.0,0.0,0.0,0.0,27.6,31.9,24.9,7.3,22.2,2017
20,21 Dec,0.0,0.0,0.0,0.0,28.2,32.0,25.8,10.3,29.6,2017
21,22 Dec,0.0,0.0,0.0,0.0,27.9,32.4,26.3,7.9,27.8,2017
22,23 Dec,0.4,0.2,0.4,0.4,27.4,29.9,25.9,5.4,20.4,2017
23,24 Dec,8.8,4.6,6.2,6.2,27.4,31.3,25.6,7.6,29.6,2017
24,25 Dec,1.4,1.4,1.4,1.4,27.9,31.3,26.3,11.0,35.2,2017
25,26 Dec,0.0,0.0,0.0,0.0,28.1,31.7,25.7,9.9,31.5,2017
26,27 Dec,0.0,0.0,0.0,0.0,28.3,32.5,25.7,10.6,35.2,2017
27,28 Dec,0.0,0.0,0.0,0.0,28.1,32.4,25.4,10.9,31.5,2017
28,29 Dec,0.6,0.6,0.6,0.6,28.0,31.8,25.5,8.5,25.9,2017
29,30 Dec,0.0,0.0,0.0,0.0,27.9,31.0,25.8,7.7,25.9,2017
30,31 Dec,7.0,2.6,2.8,3.0,26.1,28.4,23.8,7.1,35.2,2017
0,1 Nov,20.2,13.4,13.6,17.2,26.9,32.3,25.1,4.7,22.2,2017
1,2 Nov,39.4,19.6,31.6,35.2,26.3,32.4,24.4,5.4,35.2,2017
2,3 Nov,1.4,0.6,0.8,1.0,27.0,30.8,24.6,5.2,22.2,2017
3,4 Nov,28.2,25.8,28.0,28.0,27.3,32.7,24.1,5.2,35.2,2017
4,5 Nov,5.6,1.4,1.8,2.4,26.5,31.8,24.6,5.2,25.9,2017
5,6 Nov,3.0,2.8,3.0,3.0,27.7,32.5,24.8,4.2,22.2,2017
6,7 Nov,10.6,5.4,7.4,9.6,27.2,31.4,24.5,5.9,29.6,2017
7,8 Nov,1.0,0.4,0.6,1.0,27.4,29.4,25.9,4.6,22.2,2017
8,9 Nov,21.2,7.0,12.0,18.2,27.1,32.8,24.3,5.6,25.9,2017
9,10 Nov,19.8,5.2,9.2,14.6,26.0,28.7,24.3,6.2,35.2,2017
10,11 Nov,1.0,0.4,0.6,0.8,27.6,32.0,24.6,7.7,29.6,2017
11,12 Nov,1.4,0.8,1.0,1.2,28.1,33.4,23.6,6.9,33.3,2017
12,13 Nov,1.0,0.8,0.8,0.8,26.9,29.0,24.2,6.1,38.9,2017
13,14 Nov,0.0,0.0,0.0,0.0,28.7,32.9,26.1,5.3,24.1,2017
14,15 Nov,1.4,0.8,1.0,1.2,27.4,31.3,26.0,6.3,27.8,2017
15,16 Nov,0.0,0.0,0.0,0.0,28.6,33.2,25.4,8.6,29.6,2017
16,17 Nov,0.8,0.8,0.8,0.8,28.5,32.6,26.1,6.3,37.0,2017
17,18 Nov,46.4,20.2,39.0,46.4,27.4,30.9,23.4,4.3,27.8,2017
18,19 Nov,0.2,0.2,0.2,0.2,28.1,32.1,25.7,5.1,31.5,2017
19,20 Nov,6.8,3.4,5.0,5.4,26.9,29.4,23.9,5.0,29.6,2017
20,21 Nov,12.8,10.2,10.8,11.6,27.3,32.8,24.4,4.7,44.4,2017
21,22 Nov,2.8,2.2,2.4,2.8,28.0,31.9,24.9,5.3,20.4,2017
22,23 Nov,7.4,4.6,6.6,7.2,26.9,31.7,25.0,4.9,27.8,2017
23,24 Nov,32.2,19.0,24.0,28.2,25.6,27.5,23.0,3.5,24.1,2017
24,25 Nov,0.0,0.0,0.0,0.0,27.9,32.8,24.4,5.6,20.4,2017
25,26 Nov,0.0,0.0,0.0,0.0,28.4,32.6,25.2,7.2,31.5,2017
26,27 Nov,47.8,31.0,39.8,45.8,27.7,33.0,22.8,6.3,44.4,2017
27,28 Nov,0.0,0.0,0.0,0.0,28.6,32.5,25.4,5.4,25.9,2017
28,29 Nov,0.0,0.0,0.0,0.0,29.9,33.9,26.9,7.6,33.3,2017
29,30 Nov,0.0,0.0,0.0,0.0,29.8,33.9,26.1,6.3,33.3,2017
0,1 Oct,59.6,25.6,38.4,46.2,26.8,30.6,23.4,7.9,44.4,2017
1,2 Oct,0.4,0.4,0.4,0.4,26.4,29.1,23.8,5.9,24.1,2017
2,3 Oct,0.0,0.0,0.0,0.0,28.6,32.8,25.4,7.2,27.8,2017
3,4 Oct,0.0,0.0,0.0,0.0,29.1,32.5,26.1,7.5,31.5,2017
4,5 Oct,7.0,7.0,7.0,7.0,28.0,29.7,23.2,6.0,40.7,2017
5,6 Oct,0.0,0.0,0.0,0.0,29.8,33.8,27.0,8.4,33.3,2017
6,7 Oct,0.4,0.4,0.4,0.4,29.8,33.7,27.3,9.0,31.5,2017
7,8 Oct,0.0,0.0,0.0,0.0,29.7,32.8,27.3,9.5,27.8,2017
8,9 Oct,0.0,0.0,0.0,0.0,29.9,33.3,27.9,11.1,31.5,2017
9,10 Oct,28.0,18.0,25.4,27.4,28.1,31.9,23.9,8.5,38.9,2017
10,11 Oct,0.0,0.0,0.0,0.0,29.5,32.7,26.2,6.7,27.8,2017
11,12 Oct,0.0,0.0,0.0,0.0,29.7,33.0,27.7,7.3,27.8,2017
12,13 Oct,5.4,5.4,5.4,5.4,29.5,32.7,27.7,8.1,31.5,2017
13,14 Oct,0.0,0.0,0.0,0.0,29.7,32.6,27.8,9.9,35.2,2017
14,15 Oct,0.0,0.0,0.0,0.0,29.7,33.2,26.3,9.0,38.9,2017
15,16 Oct,0.0,0.0,0.0,0.0,29.7,32.8,28.2,9.4,27.8,2017
16,17 Oct,1.8,0.8,1.2,1.4,28.2,33.0,25.6,6.6,35.2,2017
17,18 Oct,0.6,0.6,0.6,0.6,27.5,30.4,25.2,5.4,27.8,2017
18,19 Oct,0.0,0.0,0.0,0.0,28.7,32.3,26.0,7.8,40.7,2017
19,20 Oct,40.4,20.6,26.0,32.0,26.5,30.7,23.5,8.5,37.0,2017
20,21 Oct,0.0,0.0,0.0,0.0,27.1,32.1,25.0,6.0,25.9,2017
21,22 Oct,0.0,0.0,0.0,0.0,27.8,32.3,25.8,5.2,25.9,2017
22,23 Oct,5.4,5.2,5.4,5.4,27.4,31.5,24.9,5.2,29.6,2017
23,24 Oct,0.0,0.0,0.0,0.0,27.7,33.3,25.7,5.6,25.9,2017
24,25 Oct,12.2,11.6,11.8,12.2,27.4,31.7,24.7,4.8,29.6,2017
25,26 Oct,0.0,0.0,0.0,0.0,28.5,33.1,25.3,5.9,27.8,2017
26,27 Oct,3.8,3.8,3.8,3.8,29.1,33.1,25.1,7.3,29.6,2017
27,28 Oct,0.0,0.0,0.0,0.0,27.9,29.8,26.4,7.3,38.9,2017
28,29 Oct,0.0,0.0,0.0,0.0,28.9,32.2,26.5,10.1,35.2,2017
29,30 Oct,1.6,0.6,0.6,0.8,28.4,32.3,25.5,7.7,38.9,2017
30,31 Oct,10.4,4.0,5.4,6.0,27.6,32.8,25.4,4.6,22.2,2017
0,1 Sep,5.6,4.4,5.4,5.6,28.0,31.9,24.8,8.3,40.7,2017
1,2 Sep,63.4,31.4,49.0,55.8,25.7,27.5,22.9,7.5,42.6,2017
2,3 Sep,0.0,0.0,0.0,0.0,28.2,31.9,25.3,7.8,29.6,2017
3,4 Sep,0.0,0.0,0.0,0.0,28.6,32.2,25.9,12.0,35.2,2017
4,5 Sep,0.0,0.0,0.0,0.0,28.6,32.3,26.7,11.3,35.2,2017
5,6 Sep,29.8,29.2,29.8,29.8,28.1,32.9,23.0,7.7,50.0,2017
6,7 Sep,0.0,0.0,0.0,0.0,28.6,32.7,26.0,6.0,29.6,2017
7,8 Sep,16.2,15.8,16.2,16.2,28.0,31.0,22.5,9.2,35.2,2017
8,9 Sep,0.2,0.2,0.2,0.2,28.8,31.6,26.9,8.2,31.5,2017
9,10 Sep,0.0,10.2,14.8,17.2,27.5,29.8,23.6,7.5,27.8,2017
10,11 Sep,0.0,0.0,0.0,0.0,28.6,31.8,26.1,9.0,31.5,2017
11,12 Sep,0.2,0.2,0.2,0.2,28.9,32.0,27.2,6.8,27.8,2017
12,13 Sep,3.8,2.8,3.0,3.2,27.1,28.9,25.4,5.0,27.8,2017
13,14 Sep,0.0,0.0,0.0,0.0,28.3,30.7,26.9,8.0,22.2,2017
14,15 Sep,0.0,0.0,0.0,0.0,28.8,32.5,26.6,12.0,35.2,2017
15,16 Sep,0.0,0.0,0.0,0.0,28.9,32.5,26.9,13.3,38.9,2017
16,17 Sep,0.0,0.0,0.0,0.0,29.2,32.8,26.7,12.1,38.9,2017
17,18 Sep,0.0,0.0,0.0,0.0,28.9,32.7,27.0,10.4,35.2,2017
18,19 Sep,0.0,0.0,0.0,0.0,28.1,30.2,26.1,7.9,44.4,2017
19,20 Sep,0.0,0.0,0.0,0.0,29.0,32.1,26.3,8.6,31.5,2017
20,21 Sep,0.4,0.4,0.4,0.4,29.4,32.4,27.4,9.8,29.6,2017
21,22 Sep,0.0,0.0,0.0,0.0,29.0,32.1,25.8,7.6,27.8,2017
