,Date,Daily Rainfall Total (mm),Highest 30-min Rainfall (mm),Highest 60-min Rainfall (mm),Highest 120-min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),Year
14,15 Nov,19.2,6.4,7.4,9.6,27.4,31.9,24.8,10.0,38.9,2016
15,16 Nov,8.6,3.6,4.6,6.6,27.6,31.6,25.0,9.3,38.9,2016
16,17 Nov,0.8,0.8,0.8,0.8,27.3,32.5,25.6,7.5,29.6,2016
17,18 Nov,0.0,0.0,0.0,0.0,28.5,33.4,24.9,5.8,22.2,2016
18,19 Nov,0.8,0.4,0.4,0.4,27.3,30.4,25.5,5.5,24.1,2016
19,20 Nov,0.2,0.2,0.2,0.2,27.9,33.3,25.7,5.3,25.9,2016
20,21 Nov,7.6,1.4,2.2,4.0,26.7,32.1,24.5,7.1,29.6,2016
21,22 Nov,17.4,11.4,15.0,16.4,26.2,31.5,23.8,5.8,35.2,2016
22,23 Nov,7.4,2.0,3.4,4.0,26.1,29.8,24.1,6.2,29.6,2016
23,24 Nov,0.2,0.2,0.2,0.2,26.1,28.1,24.8,4.7,16.7,2016
24,25 Nov,0.0,0.0,0.0,0.0,26.6,29.4,25.1,7.1,20.4,2016
25,26 Nov,5.4,1.8,3.0,3.6,26.2,27.8,25.2,4.5,16.7,2016
26,27 Nov,0.0,0.0,0.0,0.2,27.2,30.3,25.2,7.3,22.2,2016
27,28 Nov,4.2,2.0,3.4,4.0,26.5,29.2,23.7,5.4,29.6,2016
28,29 Nov,0.0,0.0,0.0,0.0,27.6,31.0,25.4,7.5,24.1,2016
29,30 Nov,11.8,11.6,11.8,11.8,27.2,31.8,24.6,6.7,24.1,2016
0,1 Oct,0.6,0.6,0.6,0.6,27.1,30.9,26.0,5.6,27.8,2016
1,2 Oct,0.0,0.0,0.0,0.0,27.8,31.7,25.0,6.6,31.5,2016
2,3 Oct,4.2,2.4,2.6,4.0,27.8,32.0,24.6,10.3,33.3,2016
3,4 Oct,0.0,0.0,0.0,0.0,28.6,30.9,27.2,5.3,22.2,2016
4,5 Oct,0.0,0.0,0.0,0.0,29.0,32.3,26.6,6.0,24.1,2016
5,6 Oct,0.0,0.0,0.0,0.0,28.6,31.9,26.7,7.9,27.8,2016
6,7 Oct,3.8,2.4,3.2,3.8,28.7,32.9,25.0,7.5,31.5,2016
7,8 Oct,4.2,1.8,2.6,3.4,27.9,33.2,25.5,8.4,35.2,2016
8,9 Oct,0.0,0.0,0.0,0.0,27.9,29.7,26.5,6.6,24.1,2016
9,10 Oct,19.0,16.2,18.0,18.8,27.5,29.1,23.2,5.6,42.6,2016
10,11 Oct,0.0,0.0,0.0,0.0,27.8,31.0,25.4,8.5,33.3,2016
11,12 Oct,0.0,0.0,0.0,0.0,28.5,30.8,27.1,12.9,37.0,2016
12,13 Oct,0.0,0.0,0.0,0.0,29.0,31.6,26.8,6.2,27.8,2016
13,14 Oct,2.6,2.6,2.6,2.6,28.9,31.3,25.4,7.6,35.2,2016
14,15 Oct,2.0,1.0,1.2,2.0,28.4,32.2,25.0,8.4,31.5,2016
15,16 Oct,0.6,0.4,0.4,0.4,29.0,32.7,25.0,8.4,35.2,2016
16,17 Oct,0.0,0.0,0.0,0.0,29.7,33.6,27.5,9.4,33.3,2016
17,18 Oct,1.2,0.6,0.6,1.2,28.2,30.6,24.6,9.5,42.6,2016
18,19 Oct,0.0,0.0,0.0,0.0,28.8,31.8,26.6,7.2,25.9,2016
19,20 Oct,0.0,0.0,0.0,0.0,27.9,30.2,26.0,6.5,25.9,2016
20,21 Oct,4.4,2.4,2.4,2.4,28.5,33.5,25.1,6.9,25.9,2016
21,22 Oct,3.0,1.0,1.8,2.6,27.7,31.6,24.8,9.1,37.0,2016
22,23 Oct,0.0,0.0,0.0,0.0,28.7,31.5,27.1,5.5,18.5,2016
23,24 Oct,0.4,0.4,0.4,0.4,27.8,29.6,26.4,5.6,18.5,2016
24,25 Oct,14.0,10.2,11.6,12.8,28.4,33.7,22.2,6.1,44.4,2016
25,26 Oct,1.2,0.6,0.6,0.8,27.1,28.9,24.6,4.4,29.6,2016
26,27 Oct,0.0,0.0,0.0,0.0,29.6,34.1,26.4,5.4,31.5,2016
27,28 Oct,8.0,7.8,7.8,7.8,27.7,29.0,25.3,4.8,20.4,2016
28,29 Oct,0.0,0.0,0.0,0.0,28.3,32.4,26.3,8.6,31.5,2016
29,30 Oct,0.0,0.0,0.0,0.0,28.5,32.4,25.4,8.3,31.5,2016
30,31 Oct,9.6,9.0,9.4,9.4,27.7,33.2,24.5,7.1,35.2,2016
0,1 Sep,1.2,1.2,1.2,1.2,28.3,31.7,25.4,10.0,40.7,2016
1,2 Sep,0.2,0.2,0.2,0.2,28.6,31.5,27.3,10.1,29.6,2016
2,3 Sep,0.8,0.6,0.6,0.6,27.6,30.7,26.5,5.9,24.1,2016
3,4 Sep,0.0,0.0,0.0,0.0,27.6,31.9,25.7,7.2,29.6,2016
4,5 Sep,32.8,9.8,14.0,18.4,25.5,26.3,23.4,5.6,27.8,2016
5,6 Sep,25.6,22.4,24.6,25.6,26.5,31.4,22.8,5.6,40.7,2016
6,7 Sep,0.0,0.0,0.0,0.0,28.1,31.7,25.4,9.6,35.2,2016
7,8 Sep,0.0,0.0,0.0,0.0,28.4,32.0,26.7,11.3,42.6,2016
8,9 Sep,0.0,0.0,0.0,0.0,28.5,32.2,26.6,7.6,31.5,2016
9,10 Sep,0.8,0.4,0.4,0.4,28.0,30.7,25.3,7.3,29.6,2016
10,11 Sep,3.2,0.8,1.2,1.6,27.5,32.2,24.6,7.6,29.6,2016
11,12 Sep,7.4,3.0,3.2,4.2,26.3,30.6,24.1,5.6,38.9,2016
12,13 Sep,17.0,4.2,6.6,10.4,25.0,27.6,22.7,6.9,57.4,2016
13,14 Sep,11.4,5.6,9.6,10.4,25.6,29.1,24.0,7.6,44.4,2016
14,15 Sep,0.0,0.0,0.0,0.0,27.7,31.3,24.8,7.2,29.6,2016
15,16 Sep,9.6,4.8,7.2,9.0,26.7,30.1,21.9,9.3,46.3,2016
16,17 Sep,0.0,0.0,0.0,0.0,28.0,33.2,25.6,9.2,44.4,2016
17,18 Sep,0.0,0.0,0.0,0.0,29.0,32.5,26.5,11.5,33.3,2016
18,19 Sep,0.0,0.0,0.0,0.0,28.6,32.4,24.7,8.5,33.3,2016
19,20 Sep,2.6,2.6,2.6,2.6,28.7,31.3,24.9,9.3,27.8,2016
20,21 Sep,4.6,2.2,2.6,3.2,26.3,29.0,25.2,5.9,27.8,2016
21,22 Sep,0.0,0.2,0.2,0.2,27.6,31.7,25.2,6.9,27.8,2016
22,23 Sep,0.0,0.0,0.0,0.0,28.6,32.9,25.7,8.0,42.6,2016
23,24 Sep,0.2,0.2,0.2,0.2,28.4,31.5,25.2,7.8,31.5,2016
24,25 Sep,0.8,0.6,0.6,0.6,28.4,32.8,23.9,7.9,55.6,2016
25,26 Sep,25.2,9.0,10.4,13.0,26.2,28.8,23.6,7.2,29.6,2016
26,27 Sep,4.2,1.4,2.4,3.8,26.7,29.3,23.6,6.6,24.1,2016
27,28 Sep,0.0,0.0,0.0,0.0,28.3,31.7,26.9,7.6,37.0,2016
28,29 Sep,2.6,1.8,2.0,2.0,27.2,29.3,24.4,8.6,44.4,2016
29,30 Sep,0.0,0.0,0.0,0.0,28.1,32.6,25.3,9.0,37.0,2016
0,1 Aug,0.0,0.0,0.0,0.0,28.5,30.4,26.0,12.3,40.7,2016
1,2 Aug,0.0,0.0,0.0,0.0,28.9,31.7,26.9,10.3,31.5,2016
2,3 Aug,0.0,0.0,0.0,0.0,29.2,31.7,27.2,12.0,31.5,2016
3,4 Aug,4.8,4.6,4.8,4.8,27.9,30.2,24.1,8.8,44.4,2016
4,5 Aug,0.0,0.0,0.0,0.0,28.8,31.8,26.7,8.6,25.9,2016
5,6 Aug,0.0,0.0,0.0,0.0,29.2,31.4,27.6,8.1,27.8,2016
6,7 Aug,0.0,0.0,0.0,0.0,29.4,32.7,27.3,11.4,29.6,2016
7,8 Aug,0.0,0.0,0.0,0.0,29.7,32.9,27.6,11.0,27.8,2016
8,9 Aug,0.0,0.0,0.0,0.0,29.6,32.8,27.7,12.3,31.5,2016
9,10 Aug,0.0,0.0,0.0,0.0,29.7,33.0,27.8,12.9,33.3,2016
10,11 Aug,0.0,0.0,0.0,0.0,29.5,32.7,28.2,11.0,31.5,2016
11,12 Aug,0.0,0.0,0.0,0.0,27.9,30.0,26.8,8.7,31.5,2016
12,13 Aug,34.6,22.2,30.8,33.4,28.3,32.2,22.5,6.4,40.7,2016
13,14 Aug,13.8,7.2,12.2,12.6,25.9,28.5,23.4,5.1,35.2,2016
14,15 Aug,0.0,0.0,0.0,0.0,28.0,31.5,24.6,6.5,25.9,2016
15,16 Aug,0.0,0.0,0.0,0.0,28.0,30.0,26.4,8.0,27.8,2016
16,17 Aug,5.2,4.0,4.6,4.6,27.4,31.4,24.3,6.2,29.6,2016
17,18 Aug,2.0,1.0,1.0,2.0,27.1,30.1,25.3,6.4,48.2,2016
18,19 Aug,1.8,1.4,1.6,1.8,28.0,31.3,25.4,5.7,25.9,2016
19,20 Aug,2.2,2.0,2.0,2.0,28.1,31.9,25.5,10.6,37.0,2016
20,21 Aug,0.0,0.0,0.0,0.0,29.6,33.0,27.7,15.2,31.5,2016
21,22 Aug,2.0,1.4,1.6,1.6,27.9,32.1,25.3,9.3,38.9,2016
22,23 Aug,24.4,8.2,11.2,15.2,25.6,27.0,23.0,5.1,48.2,2016
23,24 Aug,0.0,0.2,0.2,0.2,28.1,32.4,24.5,9.0,33.3,2016
24,25 Aug,0.0,0.0,0.0,0.0,27.9,31.9,25.7,8.6,44.4,2016
25,26 Aug,4.6,4.4,4.6,4.6,27.0,31.3,24.0,9.6,51.9,2016
26,27 Aug,1.4,1.4,1.4,1.4,27.8,30.4,25.6,8.4,27.8,2016
27,28 Aug,0.0,0.0,0.0,0.0,28.9,32.3,26.2,9.6,33.3,2016
28,29 Aug,6.6,2.8,3.4,4.8,27.2,30.8,25.1,8.0,-,2016
29,30 Aug,0.0,0.0,0.0,0.0,28.6,32.1,26.4,11.2,35.2,2016
30,31 Aug,0.0,0.0,0.0,0.0,29.0,32.2,27.2,11.7,29.6,2016
0,1 Jul,0.0,0.0,0.0,0.0,28.8,31.6,27.3,10.0,29.6,2016
1,2 Jul,0.0,0.0,0.0,0.0,28.9,31.7,27.3,12.3,33.3,2016
2,3 Jul,0.0,0.0,0.0,0.0,29.6,32.4,27.8,13.4,33.3,2016
3,4 Jul,2.0,2.0,2.0,2.0,28.8,32.2,24.6,12.8,33.3,2016
4,5 Jul,0.0,0.0,0.0,0.0,27.9,32.0,25.8,7.6,31.5,2016
5,6 Jul,0.2,0.2,0.2,0.2,29.0,32.1,27.0,14.0,37.0,2016
6,7 Jul,0.4,0.2,0.2,0.2,27.9,31.2,26.1,6.1,31.5,2016
7,8 Jul,18.8,14.2,18.2,18.8,27.1,30.7,24.5,4.5,31.5,2016
8,9 Jul,1.6,0.6,1.0,1.0,26.3,28.2,24.9,8.0,33.3,2016
9,10 Jul,0.4,0.4,0.4,0.4,27.2,29.8,25.1,6.9,22.2,2016
10,11 Jul,1.6,1.0,1.0,1.4,27.4,29.9,25.5,6.3,29.6,2016
11,12 Jul,0.2,0.2,0.2,0.2,28.7,31.2,25.9,8.0,35.2,2016
12,13 Jul,10.2,4.0,4.0,5.2,26.2,30.5,24.9,7.3,31.5,2016
13,14 Jul,0.0,0.0,0.0,0.0,27.1,28.5,25.8,7.4,29.6,2016
14,15 Jul,3.0,2.4,2.6,3.0,27.6,30.8,26.3,6.6,24.1,2016
15,16 Jul,3.8,-,-,-,28.2,32.2,25.6,7.7,35.2,2016
16,17 Jul,0.0,0.0,0.0,0.0,28.8,32.0,25.9,7.3,25.9,2016
17,18 Jul,0.2,0.2,0.2,0.2,27.8,31.0,26.5,7.9,31.5,2016
18,19 Jul,0.0,0.0,0.0,0.0,28.5,31.6,25.6,9.0,31.5,2016
19,20 Jul,0.0,0.0,0.0,0.0,29.1,32.1,26.5,12.7,33.3,2016
20,21 Jul,0.0,0.0,0.0,0.0,28.9,32.5,27.0,10.6,33.3,2016
21,22 Jul,30.4,24.0,30.4,30.4,28.0,30.3,24.2,5.8,22.2,2016
22,23 Jul,3.8,1.6,2.4,3.6,27.8,30.8,23.7,6.3,35.2,2016
23,24 Jul,7.2,6.6,6.6,7.0,27.8,30.6,24.3,8.2,33.3,2016
24,25 Jul,11.6,11.2,11.2,11.2,27.2,31.3,24.6,8.5,53.7,2016
25,26 Jul,1.6,1.4,1.6,1.6,27.7,31.1,25.6,12.1,53.7,2016
26,27 Jul,22.2,11.4,11.4,19.6,27.3,30.1,23.9,9.1,42.6,2016
27,28 Jul,2.4,2.2,2.2,2.2,28.1,30.3,25.8,8.8,33.3,2016
28,29 Jul,16.8,10.8,13.2,14.0,26.2,29.2,23.9,4.1,31.5,2016
29,30 Jul,0.6,0.4,0.4,0.6,28.2,31.6,25.3,7.9,-,2016
30,31 Jul,1.8,1.8,1.8,1.8,28.4,30.9,24.8,9.8,31.5,2016
0,1 Jun,32.4,20.2,-,-,26.6,29.5,24.7,5.9,31.5,2016
1,2 Jun,0.2,0.2,-,-,28.5,33.0,25.3,5.9,33.3,2016
2,3 Jun,16.6,10.6,12.2,15.2,28.7,31.7,24.0,8.6,33.3,2016
3,4 Jun,6.0,3.2,5.0,5.8,28.3,32.9,24.9,8.1,33.3,2016
4,5 Jun,41.0,-,-,-,27.6,31.1,24.1,7.6,33.3,2016
5,6 Jun,4.2,-,-,-,27.6,29.1,25.0,6.3,33.3,2016
6,7 Jun,0.0,0.0,0.0,0.0,29.5,32.8,27.6,7.2,35.2,2016
7,8 Jun,8.6,7.0,7.0,7.0,28.8,32.9,25.0,6.5,33.3,2016
8,9 Jun,0.0,0.0,0.0,0.0,29.7,32.6,27.0,12.3,33.3,2016
9,10 Jun,13.4,11.0,12.6,13.4,29.4,32.4,24.2,14.4,50.0,2016
10,11 Jun,0.0,0.0,0.0,0.0,28.8,33.0,25.7,8.0,27.8,2016
11,12 Jun,0.0,0.0,0.0,0.0,29.1,31.6,27.2,-,25.9,2016
12,13 Jun,8.6,2.4,4.2,6.2,26.2,27.7,25.0,6.4,25.9,2016
13,14 Jun,1.4,1.4,1.4,1.4,28.1,32.1,25.3,6.6,42.6,2016
14,15 Jun,0.0,0.0,0.0,0.0,29.7,32.3,27.5,10.8,35.2,2016
15,16 Jun,0.8,0.4,0.6,0.6,28.4,31.2,26.7,6.6,25.9,2016
16,17 Jun,5.4,3.0,4.0,4.2,27.1,29.6,25.5,5.0,27.8,2016
17,18 Jun,8.2,5.8,7.0,7.2,27.5,30.6,25.2,5.0,22.2,2016
18,19 Jun,2.4,1.0,1.6,2.4,27.7,31.6,25.2,5.9,31.5,2016
19,20 Jun,29.8,11.0,16.6,21.6,26.5,29.0,23.7,5.9,37.0,2016
20,21 Jun,2.0,0.8,0.8,1.6,26.6,27.8,24.9,4.4,24.1,2016
21,22 Jun,10.2,3.8,6.2,8.2,26.9,29.8,23.9,5.9,37.0,2016
22,23 Jun,30.2,9.2,11.4,14.4,26.4,27.5,23.7,7.5,29.6,2016
23,24 Jun,3.2,1.6,1.8,2.4,26.7,27.8,25.2,9.2,31.5,2016
24,25 Jun,0.0,0.0,0.0,0.0,28.1,31.4,25.7,9.3,27.8,2016
25,26 Jun,0.0,0.0,0.0,0.0,28.6,32.0,26.4,8.1,38.9,2016
26,27 Jun,0.0,0.0,0.0,0.0,29.3,31.8,28.1,13.4,35.2,2016
27,28 Jun,0.8,0.8,0.8,0.8,29.2,31.6,26.8,12.5,42.6,2016
28,29 Jun,8.4,7.4,7.6,7.6,28.9,31.3,26.4,11.9,33.3,2016
29,30 Jun,0.0,0.0,0.0,0.0,29.0,32.1,26.3,12.0,35.2,2016
0,1 May,22.4,13.4,22.6,28.8,26.5,31.3,24.4,6.3,29.6,2016
1,2 May,0.0,0.0,0.0,0.0,28.2,32.9,25.6,5.3,27.8,2016
2,3 May,1.0,0.2,0.4,0.6,28.5,32.0,26.2,5.5,18.5,2016
3,4 May,5.2,4.8,5.0,5.0,27.8,30.4,26.3,5.0,22.2,2016
4,5 May,31.0,30.2,31.0,31.0,28.1,34.5,24.6,5.9,35.2,2016
5,6 May,15.2,9.0,13.6,15.2,28.1,30.8,23.6,5.9,42.6,2016
6,7 May,0.0,0.0,0.0,0.0,29.6,33.4,27.0,5.9,25.9,2016
7,8 May,53.8,29.6,47.0,53.8,29.1,33.9,23.7,7.9,31.5,2016
8,9 May,0.0,0.0,0.0,0.0,30.4,33.6,28.3,9.3,24.1,2016
9,10 May,0.0,0.0,0.0,0.0,29.9,31.9,28.6,14.7,38.9,2016
10,11 May,23.0,15.6,22.4,22.8,29.3,31.9,24.6,11.7,35.2,2016
11,12 May,0.0,0.0,0.0,0.0,29.7,32.4,28.2,12.0,31.5,2016
12,13 May,19.2,12.0,19.0,19.2,27.9,29.8,24.7,5.9,35.2,2016
13,14 May,0.0,0.0,0.0,0.0,28.9,32.8,25.7,7.6,46.3,2016
14,15 May,0.0,0.0,0.0,0.0,29.7,32.6,27.1,9.6,29.6,2016
15,16 May,0.0,0.0,0.0,0.0,29.9,32.6,27.9,11.5,35.2,2016
16,17 May,29.8,20.8,21.4,21.4,28.5,31.0,25.0,5.6,38.9,2016
17,18 May,0.2,0.4,2.2,3.8,29.0,31.9,25.9,6.6,29.6,2016
18,19 May,4.0,4.0,4.0,4.0,29.8,32.8,27.9,7.3,24.1,2016
19,20 May,16.2,14.8,16.2,16.2,28.8,31.3,24.9,7.4,29.6,2016
20,21 May,0.0,0.0,0.0,0.0,29.3,34.0,26.7,5.1,25.9,2016
21,22 May,4.6,2.6,3.0,3.6,28.1,31.3,25.6,5.8,33.3,2016
22,23 May,6.8,6.0,6.2,6.4,27.8,30.3,25.4,4.6,22.2,2016
23,24 May,0.0,0.0,0.0,0.0,29.2,32.1,26.6,6.4,24.1,2016
24,25 May,0.0,0.0,0.0,0.0,30.1,33.3,27.3,8.7,37.0,2016
25,26 May,2.0,0.8,1.6,2.0,29.9,33.5,23.8,5.6,35.2,2016
26,27 May,21.2,12.2,14.0,19.0,27.7,30.2,24.0,6.6,25.9,2016
27,28 May,0.0,0.0,0.0,0.0,29.4,32.5,27.2,10.0,35.2,2016
28,29 May,0.0,0.0,0.0,0.0,29.4,32.6,28.0,7.6,24.1,2016
29,30 May,0.0,0.0,0.0,0.0,28.9,32.9,27.0,6.4,29.6,2016
30,31 May,0.0,0.0,0.0,0.0,28.8,32.3,26.7,5.8,33.3,2016
0,1 Apr,0.0,0.0,0.0,0.0,29.3,32.7,26.4,9.9,-,2016
1,2 Apr,29.6,24.0,29.2,29.6,28.8,34.6,25.1,9.1,38.9,2016
2,3 Apr,27.4,21.2,26.6,27.0,28.5,32.8,24.0,9.5,37.0,2016
3,4 Apr,0.0,0.0,0.0,0.0,29.5,34.0,26.7,10.3,31.5,2016
4,5 Apr,0.0,0.0,0.0,0.0,29.2,33.1,26.7,8.3,42.6,2016
5,6 Apr,0.0,0.0,0.0,0.0,28.6,31.0,26.6,7.3,24.1,2016
6,7 Apr,10.8,2.6,4.4,7.4,27.9,32.6,23.8,7.3,25.9,2016
7,8 Apr,16.8,14.2,16.8,16.8,28.1,33.1,23.8,7.9,37.0,2016
8,9 Apr,0.0,0.0,0.0,0.0,28.8,33.2,25.7,10.0,29.6,2016
9,10 Apr,0.0,0.0,0.0,0.0,28.8,32.7,25.5,9.4,29.6,2016
10,11 Apr,0.0,0.0,0.0,0.0,28.8,32.0,26.8,8.2,29.6,2016
11,12 Apr,0.0,0.0,0.0,0.0,28.7,32.9,26.6,7.9,31.5,2016
12,13 Apr,0.0,0.0,0.0,0.0,29.5,33.7,27.1,8.4,-,2016
13,14 Apr,0.0,0.0,0.0,0.0,29.6,33.2,27.4,11.8,37.0,2016
14,15 Apr,0.0,0.0,0.0,0.0,29.6,33.7,26.7,9.9,31.5,2016
15,16 Apr,0.0,0.0,0.0,0.0,29.5,33.7,26.8,10.8,29.6,2016
16,17 Apr,0.0,0.0,0.0,0.0,29.4,33.0,26.6,8.9,29.6,2016
17,18 Apr,0.0,0.0,0.0,0.0,29.5,33.6,26.4,9.0,29.6,2016
18,19 Apr,0.0,0.0,0.0,0.0,30.0,33.9,26.9,11.3,35.2,2016
19,20 Apr,0.0,0.0,0.0,0.0,30.2,34.3,27.4,12.0,31.5,2016
20,21 Apr,0.8,0.4,0.4,0.4,29.5,33.5,27.4,7.6,25.9,2016
21,22 Apr,0.0,0.4,0.4,0.4,30.0,34.3,27.5,10.2,31.5,2016
22,23 Apr,0.0,0.0,0.0,0.0,28.9,32.9,26.9,6.3,33.3,2016
23,24 Apr,3.4,1.6,2.4,3.4,28.0,34.1,25.2,7.3,33.3,2016
24,25 Apr,2.4,1.6,2.2,2.4,27.8,33.0,25.1,6.1,31.5,2016
25,26 Apr,4.4,3.4,4.0,4.0,27.6,31.8,26.3,4.5,18.5,2016
26,27 Apr,1.6,1.0,1.4,1.6,27.5,30.9,25.6,5.7,33.3,2016
27,28 Apr,27.6,23.6,27.6,27.6,28.2,33.1,24.5,5.1,35.2,2016
28,29 Apr,11.4,9.0,9.0,11.4,28.4,31.9,24.7,7.3,29.6,2016
29,30 Apr,51.8,13.4,24.2,29.6,27.3,31.9,24.9,5.6,29.6,2016
0,1 Mar,0.0,0.0,0.0,0.0,28.1,32.7,25.2,12.6,37.4,2016
1,2 Mar,0.0,0.0,0.0,0.0,28.3,32.7,24.8,11.5,34.9,2016
2,3 Mar,0.0,0.0,0.0,0.0,28.5,32.8,25.8,13.0,34.9,2016
3,4 Mar,0.0,0.0,0.0,0.0,28.9,33.4,26.2,12.6,33.8,2016
4,5 Mar,0.0,0.0,0.0,0.0,28.2,30.9,26.8,10.8,34.9,2016
5,6 Mar,0.0,0.0,0.0,0.0,28.2,31.3,26.1,7.9,24.5,2016
6,7 Mar,27.6,25.6,27.0,27.6,28.0,33.9,24.3,8.3,36.7,2016
7,8 Mar,12.4,8.8,11.8,12.4,27.8,33.1,25.4,6.5,27.4,2016
8,9 Mar,0.0,0.0,0.0,0.0,28.4,32.9,25.2,8.3,26.6,2016
9,10 Mar,0.0,0.0,0.0,0.0,28.9,33.1,26.3,10.4,31.3,2016
10,11 Mar,0.0,0.0,0.0,0.0,29.1,33.8,26.7,10.1,28.1,2016
11,12 Mar,0.0,0.0,0.0,0.0,28.9,32.8,25.8,12.2,39.6,2016
12,13 Mar,0.0,0.0,0.0,0.0,29.3,34.0,26.1,10.1,27.4,2016
13,14 Mar,0.0,0.0,0.0,0.0,29.1,33.0,26.8,12.6,29.5,2016
14,15 Mar,0.0,0.0,0.0,0.0,29.3,33.5,27.1,13.3,32.4,2016
15,16 Mar,0.4,0.4,0.4,0.4,29.0,33.0,26.9,15.5,38.5,2016
16,17 Mar,0.0,0.0,0.0,0.0,28.8,32.9,26.2,13.0,37.8,2016
17,18 Mar,0.0,0.0,0.0,0.0,29.0,33.7,26.1,13.0,36.4,2016
18,19 Mar,0.0,0.0,0.0,0.0,28.6,32.9,25.8,10.1,28.8,2016
19,20 Mar,0.2,0.2,0.2,0.2,28.3,32.2,26.0,10.4,30.6,2016
20,21 Mar,47.4,22.4,34.8,46.0,27.6,31.2,24.4,9.7,44.6,2016
21,22 Mar,0.8,0.8,0.8,0.8,28.0,32.5,26.3,7.6,29.9,2016
22,23 Mar,19.8,16.6,18.0,19.8,26.6,30.2,24.1,6.1,33.1,2016
23,24 Mar,0.2,0.2,0.2,0.2,28.1,32.3,24.9,10.8,37.1,2016
24,25 Mar,0.0,0.0,0.0,0.0,28.6,33.1,25.7,9.7,28.4,2016
25,26 Mar,0.0,0.0,0.0,0.0,29.3,33.4,26.4,10.8,29.9,2016
26,27 Mar,0.0,0.0,0.0,0.0,29.3,33.6,26.4,10.1,32.8,2016
27,28 Mar,0.0,0.0,0.0,0.0,29.2,33.5,26.2,10.1,28.1,2016
28,29 Mar,0.0,0.0,0.0,0.0,29.1,32.9,26.7,12.2,32.0,2016
29,30 Mar,0.0,0.0,0.0,0.0,29.1,33.8,26.1,10.1,26.3,2016
30,31 Mar,0.0,0.0,0.0,0.0,29.5,33.9,27.0,11.2,32.8,2016
0,1 Feb,0.0,0.0,0.0,0.0,28.3,32.0,26.2,17.6,38.5,2016
1,2 Feb,0.0,0.0,0.0,0.0,27.9,31.8,26.6,16.9,40.3,2016
2,3 Feb,0.0,0.0,0.0,0.0,28.0,31.5,25.6,13.0,34.6,2016
3,4 Feb,0.0,0.0,0.0,0.0,27.5,31.5,24.6,11.2,31.0,2016
4,5 Feb,0.0,0.0,0.0,0.0,27.8,32.3,24.5,12.2,33.8,2016
5,6 Feb,0.0,0.0,0.0,0.0,28.1,32.2,25.6,14.4,35.3,2016
6,7 Feb,0.0,0.0,0.0,0.0,28.0,31.3,25.9,14.4,41.0,2016
7,8 Feb,0.0,0.0,0.0,0.0,27.7,31.4,24.7,9.7,30.2,2016
8,9 Feb,14.6,4.8,5.2,8.6,26.2,29.8,23.7,7.2,34.6,2016
9,10 Feb,0.0,0.0,0.0,0.0,27.0,30.9,24.2,9.4,29.5,2016
10,11 Feb,23.8,20.4,20.8,20.8,26.9,30.4,24.6,7.6,33.1,2016
11,12 Feb,0.0,0.0,0.0,0.0,27.9,31.9,25.4,10.4,28.8,2016
12,13 Feb,0.0,0.0,0.0,0.0,28.4,32.2,26.1,13.7,35.3,2016
13,14 Feb,0.0,0.0,0.0,0.0,28.4,31.9,26.1,13.3,31.7,2016
14,15 Feb,0.0,0.0,0.0,0.0,28.3,32.7,25.1,8.6,23.4,2016
15,16 Feb,0.0,0.0,0.0,0.0,28.2,32.8,25.9,8.6,29.9,2016
16,17 Feb,0.0,0.0,0.0,0.0,28.6,33.1,25.9,13.0,36.4,2016
17,18 Feb,1.6,1.4,1.4,1.4,26.8,30.7,24.3,10.4,39.2,2016
18,19 Feb,0.6,0.6,0.6,0.6,28.1,31.9,26.0,15.5,38.5,2016
19,20 Feb,3.6,3.2,3.2,3.4,27.8,32.0,24.9,14.0,41.0,2016
20,21 Feb,15.8,5.0,6.0,7.6,27.2,30.5,24.1,13.3,42.8,2016
21,22 Feb,0.4,0.2,0.4,0.4,28.2,31.7,25.8,16.6,46.4,2016
22,23 Feb,0.0,0.0,0.0,0.0,28.1,31.7,24.7,17.3,43.9,2016
23,24 Feb,4.6,3.2,3.2,4.0,27.0,30.6,25.1,14.0,45.7,2016
24,25 Feb,0.0,0.0,0.0,0.0,28.2,31.9,25.7,14.0,36.7,2016
25,26 Feb,0.0,0.0,0.0,0.0,28.4,32.2,25.7,14.4,37.8,2016
26,27 Feb,0.0,0.0,0.0,0.0,28.3,32.5,25.7,13.0,33.5,2016
27,28 Feb,0.0,0.0,0.0,0.0,28.4,32.3,26.3,15.1,35.3,2016
28,29 Feb,0.0,0.0,0.0,0.0,28.2,31.8,25.7,14.4,39.2,2016
0,1 Jan,0.0,0.0,0.0,0.0,27.9,31.7,25.6,12.2,39.2,2016
1,2 Jan,0.0,0.0,0.0,0.0,27.6,30.7,25.4,11.9,39.6,2016
2,3 Jan,0.0,0.0,0.0,0.0,28.0,31.9,26.0,12.6,43.2,2016
3,4 Jan,0.0,0.0,0.0,0.0,27.6,31.4,25.8,12.2,39.2,2016
4,5 Jan,0.0,0.0,0.0,0.0,27.8,32.0,25.1,12.6,40.7,2016
5,6 Jan,11.0,4.2,4.2,6.0,26.4,32.3,23.8,9.4,40.7,2016
6,7 Jan,4.8,1.2,1.6,2.8,26.1,29.9,23.8,9.4,40.7,2016
