type_dengue,date,year,month,number
Dengue,2016-04-11,2016,4,221.0
DHF,2016-04-11,2016,4,0.0
Dengue,2016-04-18,2016,4,228.0
DHF,2016-04-18,2016,4,0.0
DHF,2016-04-25,2016,4,0.0
Dengue,2016-04-25,2016,4,242.0
DHF,2016-05-02,2016,5,0.0
Dengue,2016-05-02,2016,5,178.0
Dengue,2016-05-09,2016,5,215.0
DHF,2016-05-09,2016,5,0.0
Dengue,2016-05-16,2016,5,211.0
DHF,2016-05-16,2016,5,0.0
Dengue,2016-05-23,2016,5,198.0
DHF,2016-05-23,2016,5,0.0
Dengue,2016-05-30,2016,5,214.0
DHF,2016-05-30,2016,5,1.0
Dengue,2016-06-06,2016,6,157.0
DHF,2016-06-06,2016,6,1.0
Dengue,2016-06-13,2016,6,192.0
DHF,2016-06-13,2016,6,1.0
DHF,2016-06-20,2016,6,0.0
Dengue,2016-06-20,2016,6,213.0
DHF,2016-06-27,2016,6,0.0
Dengue,2016-06-27,2016,6,234.0
Dengue,2016-07-04,2016,7,245.0
DHF,2016-07-04,2016,7,1.0
Dengue,2016-07-11,2016,7,223.0
DHF,2016-07-11,2016,7,0.0
Dengue,2016-07-18,2016,7,266.0
DHF,2016-07-18,2016,7,0.0
Dengue,2016-07-25,2016,7,219.0
DHF,2016-07-25,2016,7,1.0
Dengue,2016-08-01,2016,8,209.0
DHF,2016-08-01,2016,8,0.0
Dengue,2016-08-08,2016,8,196.0
DHF,2016-08-08,2016,8,1.0
Dengue,2016-08-15,2016,8,219.0
DHF,2016-08-15,2016,8,1.0
DHF,2016-08-22,2016,8,0.0
Dengue,2016-08-22,2016,8,271.0
Dengue,2016-08-29,2016,8,308.0
DHF,2016-08-29,2016,8,0.0
Dengue,2016-09-05,2016,9,238.0
DHF,2016-09-05,2016,9,0.0
Dengue,2016-09-12,2016,9,174.0
DHF,2016-09-12,2016,9,0.0
Dengue,2016-09-19,2016,9,173.0
DHF,2016-09-19,2016,9,0.0
Dengue,2016-09-26,2016,9,135.0
DHF,2016-09-26,2016,9,0.0
Dengue,2016-10-03,2016,10,124.0
DHF,2016-10-03,2016,10,0.0
DHF,2016-10-10,2016,10,0.0
Dengue,2016-10-10,2016,10,94.0
DHF,2016-10-17,2016,10,0.0
Dengue,2016-10-17,2016,10,106.0
Dengue,2016-10-24,2016,10,81.0
DHF,2016-10-24,2016,10,0.0
Dengue,2016-10-31,2016,10,85.0
DHF,2016-10-31,2016,10,0.0
Dengue,2016-11-07,2016,11,82.0
DHF,2016-11-07,2016,11,0.0
Dengue,2016-11-14,2016,11,71.0
DHF,2016-11-14,2016,11,0.0
Dengue,2016-11-21,2016,11,74.0
DHF,2016-11-21,2016,11,1.0
Dengue,2016-11-28,2016,11,86.0
DHF,2016-11-28,2016,11,0.0
Dengue,2016-12-05,2016,12,59.0
DHF,2016-12-05,2016,12,0.0
DHF,2016-12-12,2016,12,0.0
Dengue,2016-12-12,2016,12,81.0
Dengue,2016-12-19,2016,12,70.0
DHF,2016-12-19,2016,12,0.0
Dengue,2016-12-26,2016,12,64.0
DHF,2016-12-26,2016,12,0.0
Dengue,2017-01-02,2017,1,70.0
DHF,2017-01-02,2017,1,0.0
Dengue,2017-01-09,2017,1,90.0
DHF,2017-01-09,2017,1,1.0
Dengue,2017-01-16,2017,1,73.0
DHF,2017-01-16,2017,1,1.0
Dengue,2017-01-23,2017,1,63.0
DHF,2017-01-23,2017,1,0.0
Dengue,2017-01-30,2017,1,62.0
DHF,2017-01-30,2017,1,0.0
DHF,2017-02-06,2017,2,0.0
Dengue,2017-02-06,2017,2,77.0
Dengue,2017-02-13,2017,2,51.0
DHF,2017-02-13,2017,2,2.0
Dengue,2017-02-20,2017,2,54.0
DHF,2017-02-20,2017,2,0.0
Dengue,2017-02-27,2017,2,41.0
DHF,2017-02-27,2017,2,0.0
Dengue,2017-03-06,2017,3,32.0
DHF,2017-03-06,2017,3,0.0
Dengue,2017-03-13,2017,3,34.0
DHF,2017-03-13,2017,3,1.0
Dengue,2017-03-20,2017,3,32.0
DHF,2017-03-20,2017,3,0.0
Dengue,2017-03-27,2017,3,49.0
DHF,2017-03-27,2017,3,1.0
DHF,2017-04-03,2017,4,0.0
Dengue,2017-04-03,2017,4,37.0
Dengue,2017-04-10,2017,4,32.0
DHF,2017-04-10,2017,4,0.0
Dengue,2017-04-17,2017,4,51.0
DHF,2017-04-17,2017,4,0.0
Dengue,2017-04-24,2017,4,37.0
DHF,2017-04-24,2017,4,0.0
Dengue,2017-05-01,2017,5,40.0
DHF,2017-05-01,2017,5,0.0
Dengue,2017-05-08,2017,5,48.0
DHF,2017-05-08,2017,5,0.0
Dengue,2017-05-15,2017,5,48.0
DHF,2017-05-15,2017,5,2.0
Dengue,2017-05-22,2017,5,50.0
DHF,2017-05-22,2017,5,0.0
DHF,2017-05-29,2017,5,0.0
Dengue,2017-05-29,2017,5,66.0
Dengue,2017-06-05,2017,6,62.0
DHF,2017-06-05,2017,6,0.0
Dengue,2017-06-12,2017,6,78.0
DHF,2017-06-12,2017,6,1.0
Dengue,2017-06-19,2017,6,73.0
DHF,2017-06-19,2017,6,0.0
Dengue,2017-06-26,2017,6,75.0
DHF,2017-06-26,2017,6,0.0
Dengue,2017-07-03,2017,7,63.0
DHF,2017-07-03,2017,7,0.0
Dengue,2017-07-10,2017,7,53.0
DHF,2017-07-10,2017,7,0.0
Dengue,2017-07-17,2017,7,51.0
DHF,2017-07-17,2017,7,0.0
DHF,2017-07-24,2017,7,1.0
Dengue,2017-07-24,2017,7,65.0
Dengue,2017-07-31,2017,7,60.0
DHF,2017-07-31,2017,7,0.0
Dengue,2017-08-07,2017,8,56.0
DHF,2017-08-07,2017,8,0.0
Dengue,2017-08-14,2017,8,51.0
DHF,2017-08-14,2017,8,1.0
Dengue,2017-08-21,2017,8,51.0
DHF,2017-08-21,2017,8,1.0
Dengue,2017-08-28,2017,8,33.0
DHF,2017-08-28,2017,8,0.0
Dengue,2017-09-04,2017,9,40.0
DHF,2017-09-04,2017,9,0.0
Dengue,2017-09-11,2017,9,53.0
DHF,2017-09-11,2017,9,0.0
Dengue,2017-09-18,2017,9,58.0
DHF,2017-09-18,2017,9,1.0
DHF,2017-09-25,2017,9,0.0
Dengue,2017-09-25,2017,9,39.0
Dengue,2017-10-02,2017,10,51.0
DHF,2017-10-02,2017,10,1.0
Dengue,2017-10-09,2017,10,55.0
DHF,2017-10-09,2017,10,0.0
Dengue,2017-10-16,2017,10,62.0
DHF,2017-10-16,2017,10,1.0
Dengue,2017-10-23,2017,10,77.0
DHF,2017-10-23,2017,10,0.0
Dengue,2017-10-30,2017,10,62.0
DHF,2017-10-30,2017,10,0.0
Dengue,2017-11-06,2017,11,44.0
DHF,2017-11-06,2017,11,0.0
Dengue,2017-11-13,2017,11,50.0
DHF,2017-11-13,2017,11,0.0
DHF,2017-11-20,2017,11,0.0
Dengue,2017-11-20,2017,11,24.0
Dengue,2017-11-27,2017,11,37.0
DHF,2017-11-27,2017,11,1.0
Dengue,2017-12-04,2017,12,33.0
DHF,2017-12-04,2017,12,1.0
Dengue,2017-12-11,2017,12,40.0
DHF,2017-12-11,2017,12,0.0
Dengue,2017-12-18,2017,12,51.0
DHF,2017-12-18,2017,12,0.0
Dengue,2017-12-25,2017,12,66.0
DHF,2017-12-25,2017,12,0.0
Dengue,2018-01-01,2018,1,83.0
DHF,2018-01-01,2018,1,0.0
Dengue,2018-01-08,2018,1,68.0
DHF,2018-01-08,2018,1,0.0
DHF,2018-01-15,2018,1,0.0
Dengue,2018-01-15,2018,1,54.0
Dengue,2018-01-22,2018,1,45.0
DHF,2018-01-22,2018,1,0.0
Dengue,2018-01-29,2018,1,48.0
DHF,2018-01-29,2018,1,0.0
Dengue,2018-02-05,2018,2,50.0
DHF,2018-02-05,2018,2,0.0
Dengue,2018-02-12,2018,2,28.0
DHF,2018-02-12,2018,2,0.0
Dengue,2018-02-19,2018,2,38.0
DHF,2018-02-19,2018,2,1.0
Dengue,2018-02-26,2018,2,51.0
DHF,2018-02-26,2018,2,0.0
Dengue,2018-03-05,2018,3,37.0
DHF,2018-03-05,2018,3,0.0
DHF,2018-03-12,2018,3,2.0
Dengue,2018-03-12,2018,3,37.0
Dengue,2018-03-19,2018,3,36.0
DHF,2018-03-19,2018,3,0.0
Dengue,2018-03-26,2018,3,24.0
DHF,2018-03-26,2018,3,0.0
Dengue,2018-04-02,2018,4,38.0
DHF,2018-04-02,2018,4,0.0
Dengue,2018-04-09,2018,4,38.0
DHF,2018-04-09,2018,4,0.0
Dengue,2018-04-16,2018,4,56.0
DHF,2018-04-16,2018,4,0.0
Dengue,2018-04-23,2018,4,55.0
DHF,2018-04-23,2018,4,1.0
Dengue,2018-04-30,2018,4,74.0
DHF,2018-04-30,2018,4,3.0
